,date,text,label
141,2016-01-04,"General Motors, Gazing at Future, Invests $500 Million in Lyft Beyond the financial backing, the carmaker will develop an autonomous on-demand network of self-driving cars."
216,2016-01-04,"G.M.’s Investment in Lyft Hedges Against a Future With Fewer Car Owners With the rise of self-driving cars, shared ownership and ride-hailing, people may buy fewer cars in the future. General Motors’ large stake in Lyft could help it navigate these trends."
73,2016-01-05,"Carmakers Set to Grab Spotlight at International CES With advances in technology in cars, nine automakers are planning press events at the International CES in Las Vegas this week."
475,2016-01-06,"On Display at CES, Tech Ideas in Their Awkward Adolescence Plenty of groundbreaking technologies are in the works, but in the meantime, expect to be bombarded with early, clumsy versions of tomorrow’s tech."
43,2016-01-07,Carmakers Forge Ahead With Electric Vehicles  General Motors and several other car companies are focusing on electric vehicles at the International CES consumer trade show in Las Vegas.
291,2016-01-08,"Insurers Brace for the Self-Driving Future and Fewer Accidents With fewer drivers behind the wheel making mistakes, accidents and insurance premiums are expected to fall, and some insurance companies may not survive."
299,2016-01-09,"Farhad and Mike’s Week in Tech: Cars With, and Without, Drivers Auto manufacturers, ride-hailing companies and lawmakers are turning their attention to self-driving cars."
490,2016-01-12,"Volvo Makes a Comeback, With a Detour Through China Even the smallest auto companies are flourishing in the booming American market, none more so than this tiny Chinese-owned, Swedish-run luxury brand."
38,2016-01-14,U.S. Proposes Spending $4 Billion on Self-Driving Cars A proposal announced by the transportation secretary is meant to accelerate development of autonomous vehicles and remove hurdles for automakers.
385,2016-01-15,18 Carmakers Agree to Share Safety Data The pact is part of an effort by the National Highway Traffic Safety Administration to improve safety practices in the auto industry.
95,2016-01-17,"For Now, Self-Driving Cars Still Need Humans Vehicles are increasingly able to do routine tasks, but the problem vexing the automobile industry is how to keep drivers ready to take over the wheel when necessary."
190,2016-01-21,"Self-Driving Cars May Get Here Before We’re Ready Only a few states have passed laws relating to the testing of autonomous cars, and no state expressly allows a completely unmanned vehicle on the road."
330,2016-02-03,G.M. Posts Record Profit of $9.7 Billion for 2015 The company said that its results in North America were the driving force behind its performance.
166,2016-02-10,"Google Car Exposes Regulatory Divide on Computers as Drivers A federal agency seems to accept that the computers controlling a self-driving car are the same as a human driver, but California differs."
20,2016-03-01,"Autonomous Google Car Hits Public Bus During Test Drive A self-driving car being tested by Google struck a public bus on a city street in Mountain View, Calif."
31,2016-03-11,General Motors to Buy Cruise Automation in Push for Self-Driving Cars Industry analysts said the G.M. deal underscores how competitive the race toward autonomous vehicles has become.
131,2016-04-04,"China Moves Into Position to Develop Self-Driving Cars Gansha Wu, a veteran engineering manager at Intel, has jumped into the autonomous car industry in China, with a start-up called Uisee Technology."
210,2016-04-04,China’s Companies Poised to Take Leap in Developing a Driverless Car Conditions for the technology may actually be more favorable in China than in the United States because of aggressive support from the government.
450,2016-04-12,Facebook’s Developer Conference Kicks Off On Tuesday Mark Zuckerberg is expected to address Facebook Messenger and Facebook Live among other topics.
397,2016-04-13,"Ford’s Planned New Headquarters Borrow Some Silicon Valley Sheen Ford Motor tries to shed Rust Belt image as it makes over its headquarter buildings in Dearborn, Mich., into a high-tech campus."
329,2016-04-22,"Despite Strong Earnings, G.M. Has Much to Prove to Investors Much of the credit for G.M.’s earnings has gone to a strong car market in the United States, not the company’s improving balance sheet and new models."
42,2016-04-27,"Ford and Google Team Up to Support Driverless Cars The automaker and the tech giant formed the Self-Driving Coalition for Safer Streets, a group aimed at urging federal approval of autonomous vehicles."
75,2016-05-03,Google to Get Fiat Chrysler Minivans for Self-Driving Tests The partnership will equip 100 vehicles with technology to advance and expand Google’s development effort.
